daytype,hour,temp_c,sunshine_frac
weekday,0,10.350381679389313,0.0
weekday,1,10.037022900763358,0.0
weekday,2,9.881679389312977,0.0
weekday,3,9.65381679389313,0.0
weekday,4,9.444274809160305,0.0
weekday,5,9.323664122137405,0.0
weekday,6,9.409923664122138,0.09850540712468193
weekday,7,9.790458015267175,0.24076888252756573
weekday,8,10.414503816793893,0.348603074639525
weekday,9,11.170992366412214,0.4365885920271416
weekday,10,12.122137404580153,0.5695765267175572
weekday,11,13.016412213740459,0.5953521840542834
weekday,12,13.786259541984732,0.6405333333333334
weekday,13,14.345419847328245,0.6358553753180661
weekday,14,14.503435114503818,0.6227241412213741
weekday,15,14.57824427480916,0.6003399067005938
weekday,16,14.492366412213741,0.5981055343511451
weekday,17,14.109923664122139,0.5449124787955895
weekday,18,13.543129770992367,0.42178326972010177
weekday,19,12.86030534351145,0.32462205258693805
weekday,20,12.1206106870229,0.2233961726039016
weekday,21,11.432442748091603,0.09580084817642069
weekday,22,10.943129770992366,0.0
weekday,23,10.535496183206108,0.0
weekend,0,9.805769230769231,0.0
weekend,1,9.533653846153847,0.0
weekend,2,9.39423076923077,0.0
weekend,3,9.146153846153847,0.0
weekend,4,8.995192307692308,0.0
weekend,5,8.841346153846153,0.0
weekend,6,8.979807692307691,0.10631578525641026
weekend,7,9.403846153846153,0.22936776175213677
weekend,8,10.125961538461537,0.35950082799145294
weekend,9,11.101923076923075,0.4721669871794872
weekend,10,12.071153846153846,0.5775177884615385
weekend,11,13.026923076923076,0.6314174412393162
weekend,12,13.850000000000001,0.670225080128205
weekend,13,14.518269230769231,0.6380428151709402
weekend,14,14.606730769230769,0.6158694444444445
weekend,15,14.788461538461538,0.6004752136752137
weekend,16,14.725961538461538,0.5899988782051282
weekend,17,14.430769230769231,0.5719152243589744
weekend,18,13.899038461538462,0.5157512286324786
weekend,19,13.1875,0.4190257745726496
weekend,20,12.4375,0.28177032585470085
weekend,21,11.643269230769231,0.13309524572649573
weekend,22,11.082692307692307,0.0
weekend,23,10.646153846153847,0.0
